"from_EX_lys__L_e","to_EX_lys__L_e","undir_EX_lys__L_e","ID","Name","Equation","ExEquation","Balance","Boundary","GRR","Type","Flux","ec-code","rhea","kegg.reaction","bigg.reaction","reactome.reaction","sbo","biocyc","seed.reaction","sabiork","metanetx.reaction","Reduced Cost"
16,16,16,"EX_chol_e","Choline exchange","chol_e --> ","Choline C5H14NO --> ","{'C': -5.0, 'H': -14.0, 'N': -1.0, 'O': -1.0}",1,"","reaction",0,,"32753|32754|32752|32751",,"EX_chol_e","R-GGA-6797956|R-DDI-6797956|R-XTR-444433|R-CFA-6797956|R-SSC-6797956|R-HSA-444433|R-OSA-444433|R-MMU-6797956|R-DME-444433|R-GGA-444433|R-MMU-444433|R-DDI-444433|R-SCE-444433|R-SSC-444433|R-TGU-6797956|R-OSA-6797956|R-DME-6797956|R-ATH-444433|R-HSA-6797956|R-XTR-6797956|R-ATH-6797956|R-CEL-444433|R-BTA-444433|R-RNO-6797956|R-SCE-6797956|R-RNO-444433|R-BTA-6797956|R-TGU-444433|R-DRE-444433|R-CFA-444433|R-DRE-6797956","SBO:0000627","META:TRANS-RXN-319","rxn08214",,"MNXR96693",0
14,14,14,"EX_chtbs_e","Chitobiose exchange","chtbs_e --> ","N,N'-diacetylchitobiose --> ","{'C': -16.0, 'H': -28.0, 'N': -2.0, 'O': -11.0}",1,"","reaction",0,,,,"EX_chtbs_e",,"SBO:0000627",,,,"MNXR138171",-4.19259259259259
14,14,14,"EX_cit_e","Citrate exchange","cit_e --> ","Citrate --> ","{'C': -6.0, 'H': -5.0, 'O': -7.0}",1,"","reaction",0,,"33184|33186|33183|33185",,"EX_cit_e",,"SBO:0000627",,"rxn10946|rxn08217",,"MNXR96756",-1.2296296296296299
12,12,12,"EX_cl_e","Chloride exchange","cl_e <=> ","Chloride <=> ","{'Cl': -1.0}",1,"","reaction",0,,"29823|29824|29826|29825",,"EX_cl_e","R-TGU-975340|R-OSA-2684901|R-RNO-2744228|R-DDI-2744228|R-HSA-2744228|R-SSC-975449|R-CFA-2744242|R-CFA-975449|R-GGA-975389|R-TGU-975449|R-HSA-2684901|R-DRE-2744349|R-RNO-975449|R-GGA-427570|R-XTR-2684901|R-SSC-2744349|R-BTA-2684901|R-HSA-427570|R-TGU-975389|R-BTA-2744349|R-DME-2684901|R-SSC-2684901|R-SSC-975389|R-BTA-975389|R-MMU-975389|R-TGU-2744242|R-DME-2744242|R-CEL-975340|R-PFA-427570|R-GGA-975449|R-XTR-427570|R-CFA-975389|R-DRE-975449|R-SSC-427570|R-XTR-2744349|R-CEL-427570|R-DME-2744349|R-HSA-2744242|R-GGA-2744228|R-SSC-975340|R-BTA-2744228|R-CEL-975389|R-HSA-975340|R-DME-975389|R-DRE-2684901|R-RNO-2744242|R-MMU-975449|R-CFA-427570|R-DME-427570|R-HSA-975449|R-SSC-2744242|R-DRE-2744228|R-DRE-2744242|R-RNO-975340|R-GGA-2744242|R-RNO-2744361|R-MMU-2744361|R-BTA-975340|R-SCE-427570|R-OSA-427570|R-GGA-975340|R-RNO-427570|R-XTR-975340|R-MMU-2684901|R-CFA-2744361|R-CFA-975340|R-MMU-2744242|R-RNO-2744349|R-TGU-2744228|R-DME-2744228|R-DRE-2744361|R-BTA-427570|R-SSC-2744228|R-SSC-2744361|R-DDI-427570|R-CEL-2684901|R-MMU-2744349|R-CFA-2744228|R-MMU-975340|R-XTR-2744228|R-XTR-2744361|R-BTA-975449|R-SPO-2684901|R-ATH-427570|R-TGU-427570|R-BTA-2744242|R-CFA-2744349|R-GGA-2684901|R-DDI-2684901|R-CFA-2684901|R-DRE-975389|R-MMU-2744228|R-RNO-975389|R-HSA-2744349|R-BTA-2744361|R-GGA-2744361|R-RNO-2684901|R-XTR-975449|R-TGU-2684901|R-CEL-2744228|R-DRE-975340|R-XTR-975389|R-DME-2744361|R-HSA-975389|R-MMU-427570|R-HSA-2744361|R-CEL-2744361|R-TGU-2744361|R-XTR-2744242|R-DME-975340|R-SCE-2744228|R-ATH-2684901","SBO:0000627","META:TRANS-RXN-139","rxn10473|rxn08234",,"MNXR96797",0
∞,∞,∞,"EX_cm_e","Chloramphenicol exchange","cm_e --> ","Chloramphenicol --> ","{'C': -11.0, 'H': -12.0, 'Cl': -2.0, 'N': -2.0, 'O': -5.0}",1,"","reaction",0,,"35288|35290|35287|35289",,"EX_cm_e",,"SBO:0000627",,,,"MNXR96808",0
12,12,12,"EX_asn__L_e","L-Asparagine exchange","asn__L_e --> ","L-Asparagine --> ","{'C': -4.0, 'H': -8.0, 'N': -2.0, 'O': -3.0}",1,"","reaction",0,,,,"EX_asn__L_e",,"SBO:0000627",,"rxn05220|rxn08162","13466","MNXR96069",-0.8444444444444441
10,10,10,"DM_4crsol_c","Sink needed to allow p-Cresol to leave system","4crsol_c --> ","P-Cresol --> ","{'C': -7.0, 'H': -8.0, 'O': -1.0}",1,"","reaction",0,,"35071|35072|35074|35073",,"DM_4crsol_c",,"SBO:0000628","META:TRANS-RXN0-500",,,"MNXR96888",0
12,12,12,"EX_cobalt2_e","Co2+ exchange","cobalt2_e <=> ","Co2+ <=> ","{'Co': -1.0}",1,"","reaction",0,,"28579|28580|28581|28578",,"EX_cobalt2_e",,"SBO:0000627","META:TRANS-RXN-141A","rxn08241|rxn08242|rxn10474","12148","MNXR96821",0
14,14,14,"EX_g3ps_e","Glycerophosphoserine exchange","g3ps_e --> ","Glycerophosphoserine --> ","{'C': -6.0, 'H': -13.0, 'N': -1.0, 'O': -8.0, 'P': -1.0}",1,"","reaction",0,,,,"EX_g3ps_e",,"SBO:0000627",,"rxn08566",,"MNXR99893",-1.7185185185185174
8,8,8,"EX_colipa_e","Core oligosaccharide lipid A exchange","colipa_e --> ","Core oligosaccharide lipid A --> ","{'C': -176.0, 'H': -303.0, 'N': -2.0, 'O': -100.0, 'P': -4.0}",1,"","reaction",0,,,,"EX_colipa_e",,"SBO:0000627",,"rxn08244",,"MNXR96846",0
12,12,12,"EX_g6p_e","D-Glucose 6-phosphate exchange","g6p_e --> ","D-Glucose 6-phosphate --> ","{'C': -6.0, 'H': -11.0, 'O': -9.0, 'P': -1.0}",1,"","reaction",0,,,,"EX_g6p_e",,"SBO:0000627",,"rxn08570|rxn09644|rxn13641",,"MNXR99915",-1.6444444444444435
14,14,14,"EX_colipap_e","Core oligosaccharide lipid A diphosphate exchange","colipap_e --> ","Core oligosaccharide lipid A diphosphate --> ","{'C': -176.0, 'H': -303.0, 'N': -2.0, 'O': -103.0, 'P': -5.0}",1,"","reaction",0,,,,"EX_colipap_e",,"SBO:0000627",,,,"MNXR142941",0
14,14,14,"EX_gal_e","D-Galactose exchange","gal_e --> ","D-Galactose --> ","{'C': -6.0, 'H': -12.0, 'O': -6.0}",1,"","reaction",0,,"34918|34917|34916|34915",,"EX_gal_e",,"SBO:0000627",,"rxn10911|rxn08585","7001","MNXR100025",-1.5851851851851844
16,16,16,"EX_gal_bD_e","Beta D-Galactose exchange","gal_bD_e --> ","Beta D-Galactose --> ","{'C': -6.0, 'H': -12.0, 'O': -6.0}",1,"","reaction",0,,,,"EX_gal_bD_e",,"SBO:0000627",,"rxn08574",,"MNXR99953",-1.5851851851851844
14,14,14,"EX_cpgn_e","Coprogen exchange","cpgn_e --> ","Coprogen --> ","{'C': -35.0, 'H': -52.0, 'N': -6.0, 'O': -13.0, 'Fe': -1.0}",1,"","reaction",0,,,,"EX_cpgn_e",,"SBO:0000627",,,,"MNXR142942",0
16,16,16,"EX_gal1p_e","Alpha-D-Galactose 1-phosphate exchange","gal1p_e --> ","Alpha-D-Galactose 1-phosphate --> ","{'C': -6.0, 'H': -11.0, 'O': -9.0, 'P': -1.0}",1,"","reaction",0,,,,"EX_gal1p_e",,"SBO:0000627",,"rxn08572",,"MNXR99923",-1.5851851851851841
18,18,18,"EX_galct__D_e","D-Galactarate exchange","galct__D_e --> ","D-Galactarate --> ","{'C': -6.0, 'H': -8.0, 'O': -8.0}",1,"","reaction",0,,"28478|28480|28479|28481",,"EX_galct__D_e",,"SBO:0000627","META:TRANS-RXN0-203","rxn12441|rxn08581",,"MNXR99963",-1.17037037037037
12,12,12,"DM_5drib_c","Sink needed to allow 5'-deoxyribose to leave system","5drib_c --> ","5'-deoxyribose --> ","{'C': -5.0, 'H': -10.0, 'O': -4.0}",1,"","reaction",0,,,,"DM_5drib_c",,"SBO:0000628",,,,"MNXR142736",0
14,14,14,"EX_cpgn_un_e","Coprogen unloaded (no Fe(III)) exchange","cpgn_un_e --> ","Coprogen unloaded (no Fe(III)) --> ","{'C': -35.0, 'H': -52.0, 'N': -6.0, 'O': -13.0}",1,"","reaction",0,,,,"EX_cpgn_un_e",,"SBO:0000627",,,,"MNXR142943",0
12,12,12,"DM_aacald_c","Sink needed to allow aminoacetaldehyde to leave system","aacald_c --> ","Aminoacetaldehyde --> ","{'C': -2.0, 'H': -6.0, 'N': -1.0, 'O': -1.0}",1,"","reaction",0,,,,"DM_aacald_c",,"SBO:0000628",,,,"MNXR142747",0
10,10,10,"DM_amob_c","Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system","amob_c --> ","S-Adenosyl-4-methylthio-2-oxobutanoate --> ","{'C': -15.0, 'H': -19.0, 'N': -5.0, 'O': -6.0, 'S': -1.0}",1,"","reaction",0,,,,"DM_amob_c",,"SBO:0000628",,,,"MNXR142748",-6.407407407407394
16,16,16,"DM_mththf_c","Sink needed to allow (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran to leave system","mththf_c --> ","(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran --> ","{'C': -5.0, 'H': -10.0, 'O': -5.0}",1,"","reaction",0,,"35148|35147|35149|35150",,"DM_mththf_c",,"SBO:0000628","META:TRANS-RXN0-453",,,"MNXR124017",0
12,12,12,"DM_oxam_c","Sink needed to allow oxamate to leave system","oxam_c --> ","Oxamate --> ","{'C': -2.0, 'H': -2.0, 'N': -1.0, 'O': -3.0}",1,"","reaction",0,,,,"DM_oxam_c",,"SBO:0000628",,,"12467","MNXR131355",0
6,6,6,"BIOMASS_Ec_iJO1366_WT_53p95M","E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate","0.000223 10fthf_c + 0.000223 2dmmql8_c + 2.5e-05 2fe2s_c + 0.000248 4fe4s_c + 0.000223 5mthf_c + 0.000279 accoa_c + 0.000223 adocbl_c + 0.499149 ala__L_c + 0.000223 amet_c + 0.28742 arg__L_c + 0.234232 asn__L_c + 0.234232 asp__L_c + 54.119975 atp_c + 0.000116 bmocogdp_c + 2e-06 btn_c + 0.004952 ca2_c + 0.000223 chor_c + 0.004952 cl_c + 0.002944 clpn160_p + 0.00229 clpn161_p + 0.00118 clpn181_p + 0.000168 coa_c + 2.4e-05 cobalt2_c + 0.008151 colipa_e + 0.129799 ctp_c + 0.000674 cu2_c + 0.088988 cys__L_c + 0.024805 datp_c + 0.025612 dctp_c + 0.025612 dgtp_c + 0.024805 dttp_c + 0.000223 enter_c + 0.000223 fad_c + 0.006388 fe2_c + 0.007428 fe3_c + 0.255712 gln__L_c + 0.255712 glu__L_c + 0.595297 gly_c + 0.154187 glycogen_c + 0.000223 gthrd_c + 0.209121 gtp_c + 48.752916 h2o_c + 0.000223 hemeO_c + 0.092056 his__L_c + 0.282306 ile__L_c + 0.18569 k_c + 0.437778 leu__L_c + 3e-06 lipopb_c + 0.333448 lys__L_c + 3.1e-05 malcoa_c + 0.149336 met__L_c + 0.008253 mg2_c + 0.000223 mlthf_c + 0.000658 mn2_c + 7e-06 mobd_c + 7e-06 mococdp_c + 7e-06 mocogdp_c + 0.000223 mql8_c + 0.001345 murein3p3p_p + 0.000605 murein3px4p_p + 0.005381 murein4p4p_p + 0.005448 murein4px4p_p + 0.000673 murein4px4px4p_p + 0.001787 nad_c + 4.5e-05 nadh_c + 0.000112 nadp_c + 0.000335 nadph_c + 0.012379 nh4_c + 0.000307 ni2_c + 0.012366 pe160_c + 0.031798 pe160_p + 0.009618 pe161_c + 0.024732 pe161_p + 0.004957 pe181_c + 0.012747 pe181_p + 0.005707 pg160_c + 0.004892 pg160_p + 0.004439 pg161_c + 0.003805 pg161_p + 0.002288 pg181_c + 0.001961 pg181_p + 0.180021 phe__L_c + 0.000223 pheme_c + 0.214798 pro__L_c + 0.03327 ptrc_c + 0.000223 pydx5p_c + 0.000223 q8h2_c + 0.000223 ribflv_c + 0.209684 ser__L_c + 0.000223 sheme_c + 0.004126 so4_c + 0.006744 spmd_c + 9.8e-05 succoa_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.246506 thr__L_c + 0.055234 trp__L_c + 0.133993 tyr__L_c + 5.5e-05 udcpdp_c + 0.140101 utp_c + 0.411184 val__L_c + 0.000324 zn2_c --> 53.95 adp_c + 53.95 h_c + 53.945874 pi_c + 0.749831 ppi_c","0.000223 10-Formyltetrahydrofolate + 0.000223 2-Demethylmenaquinol 8 + 2.5e-05 [2Fe-2S] iron-sulfur cluster + 0.000248 [4Fe-4S] iron-sulfur cluster + 0.000223 5-Methyltetrahydrofolate + 0.000279 Acetyl-CoA + 0.000223 Adenosylcobalamin + 0.499149 L-Alanine + 0.000223 S-Adenosyl-L-methionine + 0.28742 L-Arginine + 0.234232 L-Asparagine + 0.234232 L-Aspartate + 54.119975 ATP C10H12N5O13P3 + 0.000116 Bis-molybdopterin guanine dinucleotide + 2e-06 Biotin + 0.004952 Calcium + 0.000223 Chorismate + 0.004952 Chloride + 0.002944 Cardiolipin (tetrahexadecanoyl, n-C16:0) + 0.00229 Cardiolipin (tetrahexadec-9-enoyl, n-C16:1) + 0.00118 Cardiolipin (tetraoctadec-11-enoyl, n-C18:1) + 0.000168 Coenzyme A + 2.4e-05 Co2+ + 0.008151 Core oligosaccharide lipid A + 0.129799 CTP C9H12N3O14P3 + 0.000674 Copper + 0.088988 L-Cysteine + 0.024805 DATP C10H12N5O12P3 + 0.025612 DCTP C9H12N3O13P3 + 0.025612 DGTP C10H12N5O13P3 + 0.024805 DTTP C10H13N2O14P3 + 0.000223 Enterochelin + 0.000223 Flavin adenine dinucleotide oxidized + 0.006388 Fe2+ mitochondria + 0.007428 Iron (Fe3+) + 0.255712 L-Glutamine + 0.255712 L-Glutamate + 0.595297 Glycine + 0.154187 Glycogen C6H10O5 + 0.000223 Reduced glutathione + 0.209121 GTP C10H12N5O14P3 + 48.752916 H2O H2O + 0.000223 Heme O C49H56FeN4O5 + 0.092056 L-Histidine + 0.282306 L-Isoleucine + 0.18569 Potassium + 0.437778 L-Leucine + 3e-06 Lipoate (protein bound) + 0.333448 L-Lysine + 3.1e-05 Malonyl CoA C24H33N7O19P3S + 0.149336 L-Methionine + 0.008253 Magnesium + 0.000223 5,10-Methylenetetrahydrofolate + 0.000658 Manganese + 7e-06 Molybdate + 7e-06 Molybdopterin cytosine dinucleotide + 7e-06 Molybdopterin guanine dinucleotide + 0.000223 Menaquinol 8 + 0.001345 Two linked disacharide tripeptide murein units (uncrosslinked, middle of chain) + 0.000605 Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain) + 0.005381 Two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain) + 0.005448 Two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain) + 0.000673 Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala) & tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain) + 0.001787 Nicotinamide adenine dinucleotide + 4.5e-05 Nicotinamide adenine dinucleotide - reduced + 0.000112 Nicotinamide adenine dinucleotide phosphate + 0.000335 Nicotinamide adenine dinucleotide phosphate - reduced + 0.012379 Ammonium + 0.000307 Nickel + 0.012366 Phosphatidylethanolamine (dihexadecanoyl, n-C16:0) + 0.031798 Phosphatidylethanolamine (dihexadecanoyl, n-C16:0) + 0.009618 Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1) + 0.024732 Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1) + 0.004957 Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1) + 0.012747 Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1) + 0.005707 Phosphatidylglycerol (dihexadecanoyl, n-C16:0) + 0.004892 Phosphatidylglycerol (dihexadecanoyl, n-C16:0) + 0.004439 Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1) + 0.003805 Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1) + 0.002288 Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1) + 0.001961 Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1) + 0.180021 L-Phenylalanine + 0.000223 Protoheme C34H30FeN4O4 + 0.214798 L-Proline + 0.03327 Putrescine + 0.000223 Pyridoxal 5'-phosphate + 0.000223 Ubiquinol-8 + 0.000223 Riboflavin C17H20N4O6 + 0.209684 L-Serine + 0.000223 Siroheme C42H36FeN4O16 + 0.004126 Sulfate + 0.006744 Spermidine + 9.8e-05 Succinyl-CoA + 0.000223 5,6,7,8-Tetrahydrofolate + 0.000223 Thiamine diphosphate + 0.246506 L-Threonine + 0.055234 L-Tryptophan + 0.133993 L-Tyrosine + 5.5e-05 Undecaprenyl diphosphate + 0.140101 UTP C9H11N2O15P3 + 0.411184 L-Valine + 0.000324 Zinc --> 53.95 ADP C10H12N5O10P2 + 53.95 H+ + 53.945874 Phosphate + 0.749831 Diphosphate","{'C': -40.8584139999997, 'H': -64.21499799999971, 'N': -10.509167999999875, 'O': -15.7231249999999, 'S': -0.24523699999999996, 'Fe': -0.015526999999999997, 'P': -0.9273689999998573, 'Co': -0.000247, 'Mo': -0.00013700000000000002, 'Ca': -0.004952, 'Cl': -0.004952, 'Cu': -0.000674, 'K': -0.18569, 'Mg': -0.008253, 'Mn': -0.000658, 'Ni': -0.000307, 'Zn': -0.000324}",0,"","reaction",0,,,,"BIOMASS_Ec_iJO1366_WT_53p95M",,"SBO:0000629",,,,"MNXR142680",-9.976722051851826
